# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr 29 13:02:40 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_radj_reflink not like '%calculated value%'
# CONSTRAINT:  and pl_bmasse_reflink not like '%calculated value%'
# CONSTRAINT:  and pl_bmassprov not like '%calculated value%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radj_reflink: Planet Radius Reference
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasse_reflink: Planet Mass or Mass*sin(i) [Earth Mass] Reference
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_radj_reflink,pl_bmasse,pl_bmasse_reflink,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
80,CT Cha b,CT Cha,1,1,Imaging,2007,Paranal Observatory,0,,440.000000,24.660,2.200,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,5403.00000,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,17.00000,Mass,,,2600,0,K5e,4403.00,1.68,,-0.560,[Fe/H],3.66,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.7200000,12.3350000,8.6610000,11.7733000
81,CoRoT-1 b,CoRoT-1,1,1,Transit,2008,CoRoT,0,1.50895570,0.027520,16.700,1.490,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,327.35000,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,1.03000,Mass,0.000000,2852.63,1898,0,G0 V,5950.00,1.11,0.95,-0.300,[M/H],4.25,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.9090000,13.6230000,12.1490000,13.4570000
82,CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,0,13.24060000,0.105500,10.870,0.970,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,874.00000,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,2.75000,Mass,0.530000,,600,0,K1 V,5075.00,0.79,0.89,0.260,[Fe/H],4.65,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.3860000,15.2930000,11.7820000,14.6645000
83,CoRoT-11 b,CoRoT-11,1,1,Transit,2010,CoRoT,0,2.99433000,0.043600,16.030,1.430,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,740.51000,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2.33000,Mass,0.000000,,1657,0,F6 V,6440.00,1.37,1.27,-0.030,[Fe/H],4.22,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.0370000,12.8970000,11.2480000,12.8410000
84,CoRoT-12 b,CoRoT-12,1,1,Transit,2010,CoRoT,0,2.82804200,0.040160,16.140,1.440,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,291.43800,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,0.91700,Mass,0.070000,661.13,1442,0,,5675.00,1.12,1.08,0.160,[Fe/H],4.38,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.3700000,15.5880000,13.5570000,15.3453000
85,CoRoT-13 b,CoRoT-13,1,1,Transit,2010,CoRoT,0,4.03519000,0.051000,9.920,0.885,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,415.70400,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,1.30800,Mass,0.000000,546.53,1700,0,G0 V,5945.00,1.01,1.09,0.010,[Fe/H],4.46,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.9300000,15.0050000,13.3760000,14.9147000
86,CoRoT-14 b,CoRoT-14,1,1,Transit,2010,CoRoT,0,1.51214000,0.027000,12.220,1.090,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,2415.40000,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,7.60000,Mass,0.000000,,1952,0,F9 V,6035.00,1.21,1.13,0.050,[Fe/H],4.35,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6000000,15.9320000,13.8060000,15.8116000
87,CoRoT-16 b,CoRoT-16,1,1,Transit,2011,CoRoT,0,5.35227000,0.061800,13.110,1.170,<a refstr=OLLIVIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...541A.149O/abstract target=ref> Ollivier et al. 2012 </a>,170.03200,<a refstr=OLLIVIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...541A.149O/abstract target=ref> Ollivier et al. 2012 </a>,0.53500,Mass,0.330000,,,0,G5 V,5650.00,1.19,1.10,0.190,[M/H],4.36,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,732.4090000,16.0520000,12.8470000,15.6507000
88,CoRoT-17 b,CoRoT-17,1,1,Transit,2011,CoRoT,0,3.76810000,0.046100,11.430,1.020,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,772.29000,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,2.43000,Mass,0.000000,,1626,0,G2 V,5740.00,1.59,1.04,0.000,[Fe/H],4.40,18h34m47.82s,278.6992360,-06d36m44.24s,-6.6122880,1176.1200000,16.2900000,12.4720000,15.4368000
89,CoRoT-18 b,CoRoT-18,1,1,Transit,2011,CoRoT,0,1.90006930,0.029500,14.680,1.310,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,1102.82000,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,3.47000,Mass,0.080000,823.70,1550,0,G9 V,5440.00,1.00,0.95,-0.100,[Fe/H],4.40,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.8890000,14.8680000,13.0140000,14.8009000
90,CoRoT-19 b,CoRoT-19,1,1,Transit,2011,CoRoT,0,3.89713000,0.051800,14.460,1.290,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,352.78000,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,1.11000,Mass,0.047000,1103.81,2000,0,F9 V,6090.00,1.65,1.21,-0.020,[Fe/H],4.07,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,790.6630000,14.1350000,11.8370000,13.7831000
91,CoRoT-2 b,CoRoT-2,2,1,Transit,2008,CoRoT,0,1.74299350,0.027980,16.432,1.466,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,1102.82000,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,3.47000,Mass,0.014300,932.91,1521,1,,5625.00,0.91,0.96,0.040,[Fe/H],4.53,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,213.2830000,12.5160000,10.3100000,12.2489000
92,CoRoT-20 b,CoRoT-20,1,2,Transit,2011,CoRoT,0,9.24285000,0.090000,9.416,0.840,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,1366.66900,<a refstr=REY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A.115R/abstract target=ref>Rey et al. 2018</a>,4.30000,Mass,0.590000,180.87,1024,0,G2 V,5880.00,1.02,1.14,0.140,,4.35,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.0610000,14.6300000,12.5130000,14.4686000
94,CoRoT-21 b,CoRoT-21,1,1,Transit,2012,CoRoT,0,2.72474000,0.041700,14.572,1.300,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&aumltzold et al. 2012</a>,718.29580,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&aumltzold et al. 2012</a>,2.26000,Mass,0.000000,,,0,F8 IV,6200.00,1.95,1.29,0.000,[Fe/H],3.70,06h44m12.63s,101.0526207,-00d17m56.96s,-0.2991544,1398.8341969,16.0580000,13.8130000,15.8558000
95,CoRoT-22 b,CoRoT-22,1,1,Transit,2014,CoRoT,0,9.75598000,0.092000,4.880,0.435,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,12.20000,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,0.03800,Mass,0.077000,,885,0,G3 V,5939.00,1.14,1.10,0.170,[Fe/H],4.36,18h42m40.11s,280.6671392,+06d13m09.00s,6.2191669,627.1580000,13.8200000,11.9880000,13.7305000
96,CoRoT-23 b,CoRoT-23,1,1,Transit,2011,CoRoT,0,3.63130000,0.048000,11.770,1.050,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,889.90000,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,2.80000,Mass,0.160000,,1660,0,G0 V,5900.00,1.61,1.14,0.050,[Fe/H],4.30,18h39m07.84s,279.7826586,+04d21m27.91s,4.3577516,1060.9700000,15.6750000,12.3640000,15.0681000
97,CoRoT-24 b,CoRoT-24,1,2,Transit,2014,CoRoT,0,5.11340000,0.056000,3.700,0.330,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,5.70000,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,0.01800,Mass,0.000000,,1070,0,K1 V,4950.00,0.86,0.91,0.300,[Fe/H],4.55,06h47m41.41s,101.9225430,-03d43m09.44s,-3.7192892,591.5550000,15.3830000,12.9240000,15.1801000
98,CoRoT-24 c,CoRoT-24,1,2,Transit,2014,CoRoT,0,11.75900000,0.098000,5.000,0.440,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,28.00000,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,0.08800,Mass,0.000000,,850,0,K1 V,4950.00,0.86,0.91,0.300,[Fe/H],4.55,06h47m41.41s,101.9225430,-03d43m09.44s,-3.7192892,591.5550000,15.3830000,12.9240000,15.1801000
99,CoRoT-25 b,CoRoT-25,1,1,Transit,2013,CoRoT,0,4.86069000,0.057800,12.110,1.080,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,85.81000,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,0.27000,Mass,0.000000,,1330,0,F9,6040.00,1.19,1.09,-0.010,[Fe/H],4.31,18h42m31.12s,280.6296561,+06d30m49.76s,6.5138223,1103.4800000,14.7900000,12.8460000,14.7110000
100,CoRoT-26 b,CoRoT-26,1,1,Transit,2013,CoRoT,0,4.20474000,0.052600,14.120,1.260,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,165.26000,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,0.52000,Mass,0.000000,,1600,0,G5,5590.00,1.79,1.09,0.010,[Fe/H],3.99,18h39m00.12s,279.7504991,+06d58m11.22s,6.9697828,1045.1800000,15.8610000,13.2610000,15.4682000
101,CoRoT-27 b,CoRoT-27,1,1,Transit,2014,CoRoT,0,3.57532000,0.047600,11.287,1.007,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,3302.11000,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,10.39000,Mass,0.065000,,1500,0,G2,5900.00,1.08,1.05,-0.100,[M/H],4.40,18h33m59.00s,278.4958319,+05d32m18.17s,5.5383811,1010.2800000,15.7740000,12.9850000,15.3902000
102,CoRoT-28 b,CoRoT-28,1,1,Transit,2015,CoRoT,0,5.20851000,0.060300,10.705,0.955,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,153.82972,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,0.48400,Mass,0.047000,,,0,G8/9 IV,5150.00,1.78,1.01,0.150,[Fe/H],3.60,18h34m45.20s,278.6883216,+05d34m25.29s,5.5736911,766.1830000,13.7830000,11.0320000,13.4119000
103,CoRoT-29 b,CoRoT-29,1,1,Transit,2015,CoRoT,0,2.85057000,0.038600,10.088,0.900,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,270.15550,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,0.85000,Mass,0.082000,,,0,K0 V,5260.00,0.90,0.97,0.200,[Fe/H],4.30,18h35m36.50s,278.9020691,+06d28m46.45s,6.4795703,806.5070000,15.4080000,13.0480000,15.2394000
104,CoRoT-3 b,CoRoT-3,1,1,Transit,2008,CoRoT,0,4.25680000,0.057830,11.320,1.010,<a refstr=DELEUIL_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..889D/abstract target=ref> Deleuil et al. 2008 </a>,6883.91000,<a refstr=DELEUIL_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..889D/abstract target=ref> Deleuil et al. 2008 </a>,21.66000,Mass,0.000000,,1695,0,F3 V,6740.00,1.56,1.37,0.140,[Fe/H],4.22,19h28m13.27s,292.0552827,+00d07m18.61s,0.1218359,768.7710000,13.4480000,11.6180000,13.2188000
